gene,state,n_restarts,BS_min,BS_median,BS_max,BS_restart_fold,BF_min,BF_median,BF_max,BF_restart_fold,best_seed,best_nll_per_cell
Bicc1,2,3,3.1353969407740463,4.059957673664822,4.1433320589061875,1.3214697013397316,0.7163064685144724,0.7409891327942759,0.8845525573062627,1.234880035553373,101,2.2507068924641818
Bid,2,3,2.961607483796448,3.355817806905496,3.6099899870608168,1.218929249339016,0.8122446387154476,0.8335356628580972,0.8379532144022688,1.031651271626094,101,2.2311528331296033
Blvrb,2,3,3.55474852245974,4.158449455557582,5.945476773498328,1.6725449735567517,0.618819999690351,0.750597754151683,0.7612163721769626,1.23010951901662,101,2.4696218682320037
Bmp1,2,3,6.439832277127793,6.846737245107335,7.467779846390854,1.1596233449920736,1.1093275754976857,1.2261781234565816,1.2796461666086933,1.1535331807059754,202,3.1511740687749885
Bms1,2,3,3.0349765484343854,3.1109673408816687,3.2602727716620494,1.074233266594394,0.799035684112307,0.813417059494373,0.8415071202189724,1.053153365927392,101,1.973592838063002
Bola1,3,3,2.7862206426080576,3.2133336724524724,3.641003274782074,1.306789282622604,0.9139336936858561,1.0187356802528997,1.1595645026970205,1.2687621768495543,101,2.193593866229071
Bop1,2,3,3.1899010701270574,3.830115188443414,4.005386333371411,1.2556459417758281,0.595633833591274,0.5991885828177159,0.6809758540069073,1.1432793364021616,303,1.9820704956127921
Bsg,2,3,28.038078699195545,28.22890298763116,29.057691143633818,1.036365275073842,1.7099013221392247,1.9451066933732393,1.9626420827310354,1.1478101439652737,202,4.794586490602771
Btf3,3,3,6.624810573959043,7.796112807601735,8.882082267395097,1.3407299979729215,1.2645828594514303,1.3285038386850083,1.3752414100127512,1.0875059706323427,202,3.023746639923913
Btg1,2,3,3.35171218041592,3.486692950335256,4.19135697781087,1.2505122015849097,0.7961134164070941,0.846518794927916,0.8559141412053574,1.075115835967377,303,2.1612825908230318
Bub3,2,3,4.476184262704796,4.64059075870825,4.904142201491958,1.095607757337622,0.8808244551343005,0.9926963585270187,1.188966266602687,1.3498333971908212,303,2.703818784825106
Bud31,2,3,2.5054889449659203,3.30235008394641,3.5615790632429096,1.4215105879428873,1.4006835235863344,1.4020339852796515,1.5881099637206404,1.1338106981185987,101,2.529342962584719
Bysl,2,3,3.07383432326897,3.183225757536294,3.446531698744244,1.12124836158343,0.7935043037099425,0.9015235197741935,0.9025583629423978,1.137433481737383,202,2.0882120793233145
Cald1,2,3,23.5472902194198,25.064567640277794,25.373842204514492,1.077569519383097,1.7308270607199898,1.8452990991037153,1.885373250169541,1.0892903704574985,202,4.487773307223441
Calm1,2,3,7.115863297472896,8.186100799338933,11.745493689860998,1.6506069887587995,2.040901947263533,2.395629360735501,2.961208964501509,1.4509315199938613,101,3.741563859593231
Calr,2,3,16.757820798679127,18.400245230984478,19.860043069407567,1.1851208643413207,1.6761648402301728,1.6877876320879224,2.1415683860612513,1.277659771080253,101,4.226316165430162
Calu,2,3,9.517862311861206,10.857995796021457,11.323122897214253,1.189670802770841,1.6804213055039543,1.8469075380056725,1.8967448438888692,1.1287317279758244,101,3.7611296977743653
Cant1,2,3,2.52215764026212,3.039971690306569,3.3438309355591884,1.3257818949063287,0.7403253296501578,0.7420557336578272,0.8146862749608278,1.100443605442771,101,1.936219411943373
Canx,2,3,7.552694245278644,7.763203091487638,9.510183553300335,1.2591776185359762,1.6626838940699347,1.7372271534215455,1.9510802772821425,1.1734523226217513,101,3.5505058386407824
Capg,2,3,8.03438375570853,8.887371267925747,9.242073936427133,1.1503152223542377,1.3262181802325224,1.3312196438569768,1.3808082005971527,1.0411621716383492,202,3.5064178919581552
