gene,state,seed,BS,BF,Pon,nll,nll_per_cell,n_cells,mmax,boundary_mass,train_best_mean_nll,kon,koff,ksyn,k01,k10,k12,k21,analysis_role,log10_BS,log10_BF
Atic,2,202,2.854652576949973,1.0196022378170024,0.0957257254081433,892.4680742766514,2.1820735312387565,409,70,-7.849909553707372e-18,2.772897381189308,1.1275364858490518,10.651287660341564,30.40572576742949,,,,,stable_K2,0.4555532603595414,0.008430779985253775
Atox1,2,101,5.404212320338007,1.8543016647498505,0.1064731473072291,1311.7523219489854,3.1761557432178824,413,89,2.3090259539927479e-10,2.7720772594232392,2.0752612628950624,17.415674389705487,94.11800210384148,,,,,stable_K2,0.732732403218203,0.2681803882113688
Atp13a3,2,303,2.23907315072,1.0476520746076097,0.0688033848092702,828.0369783550921,2.0344888903073515,407,70,-4.960929053977321e-18,2.777697630751873,1.1250600115132798,15.226751961575786,34.093811489837435,,,,,stable_K2,0.3500682822503524,0.02021707733686613
Atp1b3,2,303,4.860733986053744,1.350374879496145,0.0957885568240475,1208.47001950382,2.9260775290649392,413,76,5.515738964697179e-11,2.777697630751873,1.4934282127121594,14.09745510600631,68.52397915063176,,,,,stable_K2,0.6867018540409733,0.13045435034372388
Atp5c1,2,101,12.948509395497064,1.554287135086907,0.0943082186920365,1604.4584237643207,3.884887224610946,413,193,1.3702321892832696e-11,2.7720772594232392,1.7161325377627568,16.480929834571803,213.40347480948088,,,,,stable_K2,1.1122197762496788,0.191531252344306
Atp5j2,2,202,6.770205796449139,2.4574176081073325,0.1084755612936077,1460.9094199243782,3.537310944126824,413,128,4.3475900729521905e-11,2.772897381189308,2.756422035578813,22.654112860093065,153.37300619881506,,,,,stable_K2,0.830601870295756,0.3904789657944338
Atp5o,2,101,5.587700839800827,1.977394934910043,0.1049397342395702,1340.4968221966528,3.2457550174253096,413,100,3.132687643149355e-11,2.7720772594232392,2.209231054659853,18.843147919507643,105.28987345432408,,,,,stable_K2,0.7472331463502263,0.2960934173778066
Atp6v0a2,2,303,3.460068692625413,0.6861624255291453,0.0652663531677135,731.5063163991395,1.9717151385421547,371,70,1.1039063883715104e-17,2.777697630751873,0.734072671776048,10.51326437323575,36.37661691512715,,,,,stable_K2,0.5390847209118597,-0.1635730677315278
Atp6v0b,2,202,4.519878298142021,1.5150026594500343,0.089538634816396,1190.0545503860849,2.909668827349841,409,84,2.321190827878051e-12,2.772897381189308,1.663994450928204,16.920100050180935,76.47679301920452,,,,,stable_K2,0.6551267411925926,0.18041339520364466
Atp6v0d1,2,202,2.295808034466478,1.297351203550751,0.0958610888538422,909.3197581319218,2.201742755767365,413,70,-1.6106064224119782e-18,2.772897381189308,1.4349025216779208,13.533658119915575,31.070681047424667,,,,,stable_K2,0.3609355714187371,0.11305755905807294
Atp6v0e,2,303,11.017367720304636,2.119884188413464,0.1816022427877481,1609.2170093914228,3.8964092237080457,413,189,5.8112089115636125e-18,2.777697630751873,2.5902859211571263,11.673226915435883,128.6082334099146,,,,,stable_K2,1.0420778448695773,0.32631213559534583
Atp6v1a,2,101,4.819289676755547,1.1779676998496584,0.0850472016195903,1178.4022829894968,2.853274292952777,413,85,1.628187980772737e-13,2.7720772594232392,1.287462808939238,13.850752022607608,66.75078623785386,,,,,stable_K2,0.6829830315586196,0.0711333821578921
Atp6v1f,2,101,2.623367726826745,1.4422200353830217,0.0953492983334528,914.1508551448504,2.213440327227241,413,70,7.795642522611421e-18,2.7720772594232392,1.5942286152281362,15.125649171945986,39.68013988498679,,,,,stable_K2,0.4188591714665255,0.15903152450451255
Atxn10,2,303,2.9383284516742,1.136965855372045,0.079067042722304,913.6233510063342,2.3426239769393185,390,75,-9.074981822228336e-18,2.777697630751873,1.2345804831797402,14.379769575615075,42.252486072548805,,,,,stable_K2,0.4681003403912138,0.05574742243076897
Aurkaip1,2,303,3.575865838450702,1.4017367651150456,0.09577967146439,1110.2304707176113,2.7144999284049174,409,75,7.729612818791363e-15,2.777697630751873,1.550215938393208,14.635013293360457,52.33284408099956,,,,,stable_K2,0.5533812163001796,0.1466664642785477
Avpi1,2,202,4.110907098424563,0.956333423563195,0.0893228878027418,1048.0915612678991,2.575163541198769,407,70,2.4328899242272072e-14,2.772897381189308,1.050134466711015,10.70647677306554,44.01333136551284,,,,,stable_K2,0.6139376623562529,-0.019390665498067155
Axl,2,202,7.74774656809515,2.1645172405467474,0.1043900808597228,1553.9097650786853,3.762493377914492,413,175,1.0805333056839152e-16,2.772897381189308,2.416808025780389,20.73489380140801,160.6487022896763,,,,,stable_K2,0.8891754063323191,0.3353610493519928
