gene,state,n_cells,mmax_cdf,max_abs_cdf_difference,mean_abs_cdf_difference,total_variation_empirical_vs_fit,nll_recomputed,nll_per_cell_recomputed,fsp_boundary_mass_cdf
Atp6v0a2,2,371,70,0.04514975988209957,0.002712180153516409,0.07068917289813538,731.5063163991392,1.9717151385421543,1.1039063883715105e-17
Atp6v0b,2,409,84,0.04186679433663945,0.00510370079584534,0.12339883541641833,1190.0545503860849,2.909668827349841,2.321190827878052e-12
Atp6v0d1,2,413,70,0.05101363978901541,0.0028025024152770095,0.11916970768216056,909.3197581319218,2.2017427557673654,-1.6106064224119782e-18
Atp6v0e,2,413,189,0.07620281502473258,0.009959597521351856,0.15302284562750784,1609.2170093915165,3.8964092237082726,8.886842131654346e-20
Atp6v1a,2,413,85,0.03228223725416157,0.003434359869027268,0.07582860287230414,1178.4022829894968,2.853274292952777,1.6281879807727367e-13
Atp6v1f,2,413,70,0.12209327275990212,0.012517160494584624,0.19294801445009416,914.1508551448507,2.213440327227241,7.795642522611421e-18
Atxn10,2,390,75,0.028165803890898955,0.002989990229418492,0.07324388226939667,913.6233510063341,2.3426239769393185,-9.074981822228335e-18
Aurkaip1,2,409,75,0.0353353690380237,0.004368345116682261,0.09475083491151813,1110.2304707176113,2.7144999284049174,7.729612818791363e-15
Avpi1,2,407,70,0.040382487976983295,0.005653763554710625,0.07290467587613647,1048.0915612678996,2.5751635411987706,2.432889924227207e-14
Axl,2,413,175,0.036741752482597145,0.007234691405624604,0.1379047035659739,1553.909765078685,3.762493377914492,1.0806848427261845e-16
B2m,2,413,93,0.07416550764318464,0.0117432982825715,0.13538394673652987,1286.687701509431,3.1154665896112133,3.1839343670605776e-10
BC004004,2,409,72,0.02006111326714985,0.0028285721618452066,0.06980540628149923,1099.1970782624073,2.687523418734492,1.9909135410809393e-12
BC031181,2,405,72,0.06164098250286265,0.0061691405714116064,0.1127378456549615,1078.3573958276233,2.6626108538953663,1.569564991587233e-13
Bad,2,401,70,0.07399924317847573,0.004347665444919636,0.10074419149972239,821.8645568816924,2.0495375483333973,-1.3113928922691099e-17
Bag2,2,407,87,0.05157183647406127,0.004646120390858663,0.09251434107374445,1072.8112959664275,2.635899990089502,1.5185035342940681e-13
Bag3,2,389,74,0.032918445080925895,0.003422110364184719,0.09604112036580831,903.4237714568816,2.322426147704066,1.171705094890866e-12
Bak1,2,409,78,0.030678825892900857,0.0030985643257873145,0.08062447228301156,952.6598152255282,2.3292416020184064,-6.54120241675729e-18
Bax,2,413,191,0.04782545221423329,0.0045691638137259,0.14426701558771493,1610.3371761189087,3.899121491813338,2.5558009792017105e-14
Baz1b,2,374,70,0.038570891089948045,0.00267835145476719,0.05397580210118732,748.5371924794354,2.001436343527902,5.5497969809470495e-18
Bbip1,2,399,70,0.03465031407404817,0.00325523578050315,0.07458180566509712,959.8071348367408,2.4055316662574957,2.0341363646566323e-15
Bccip,2,407,70,0.029333095232621453,0.0014948930998618436,0.07010350079079426,895.9709297772919,2.201402775865582,6.298421532878617e-18
Bckdk,2,411,70,0.064897584393519,0.004184418130395758,0.08458398719911844,992.5142280996386,2.414876467395714,-1.1842129413480919e-17
Bclaf1,2,371,70,0.03833691791077953,0.0036243291788467026,0.09870978418088443,880.6294763050262,2.3736643566173212,6.854218123228947e-16
Bicc1,2,410,70,0.017816082082871776,0.0013940660085050766,0.06494396447007407,922.7898259103143,2.2507068924641813,1.8584623449896764e-15
Bid,2,411,70,0.029499583651301953,0.0021453444589008648,0.08238606705386534,917.0038144162666,2.2311528331296024,4.34143483062034e-17
Blvrb,2,407,72,0.06576885059645077,0.00323549803243278,0.11386980876763365,1005.136100370425,2.4696218682320024,1.2528378620399546e-10
Bmp1,2,407,138,0.038593399163467434,0.0054775034080529,0.08515658367307559,1282.5278459914202,3.1511740687749885,-3.675408945991735e-17
Bms1,2,375,70,0.04667440974676107,0.00442302863373523,0.054406809818374265,740.0973142736256,1.9735928380630015,1.621392378995418e-18
Bop1,2,370,70,0.04094099089961478,0.0016053180899258206,0.09085149691542456,733.3660833767333,1.9820704956127926,1.729119203627521e-17
Bsg,2,413,400,0.06493196297235726,0.005810989173414521,0.2458033283609819,1980.1642206189445,4.794586490602771,2.103925812856435e-20
Btg1,2,407,81,0.0548562906728598,0.005127380588565684,0.10431045500930652,879.6420144649501,2.161282590822973,7.115236618775832e-18
Bub3,2,405,97,0.04448441421697316,0.004973193439664178,0.07389629237100445,1095.0466078537975,2.7038187848241915,1.0074890571317977e-17
Bud31,2,409,70,0.05551881923934032,0.005054387226112277,0.08311519922164162,1034.5012716971498,2.5293429625847184,2.5226791390965038e-14
Bysl,2,407,70,0.02902175517301775,0.0019136905678001903,0.045189580716342846,849.902316284589,2.0882120793233145,-6.163482205408838e-18
