gene_id,state,kon,koff,ksyn,bs_pred,bf_pred,pon_pred,bs_true,bf_true,pon_true,bs_log10_abs_error,bf_log10_abs_error,pon_abs_error,condition,n_cells,eta,pon_design,switch_total,true_mean,replicate,observed_mean,observed_zero,success,kon_mle,koff_mle,ksyn_obs_mle,ksyn_latent_mle,bs_mle,bf_mle,pon_mle,nll,mle_bs_log10_abs_error,mle_bf_log10_abs_error
0,2,0.016824296432735496,0.41777939082963383,88.58370258482385,180.1259905440316,0.016172997424575734,0.037082552923476314,229.09507445589924,0.00873,0.03,0.1044393698691949,0.26777627368471024,0.007082552923476315,n200_eta0p3,200,0.3,0.03,0.3,2.0,0,0.76,0.92,True,0.01270997008548085,0.27850373468027784,18.13066326135969,60.4355442045323,217.00083941033063,0.01215524571320669,0.04364482123430376,103.14675885284528,0.02355433815334028,0.14374949864377418
1,2,0.012032591682960196,0.35985235252150566,102.01461802639362,281.89854239508946,0.01164326895057972,0.03390796793351549,229.09507445589924,0.00873,0.03,0.09007707832466286,0.1250606857393029,0.003907967933515492,n200_eta0p3,200,0.3,0.03,0.3,2.0,1,0.395,0.955,,,,,,,,,,,
2,2,0.011330422042573401,0.2924615492032631,222.09529957395503,725.5173311356762,0.010872866005351122,0.04038296503899319,916.380297823597,0.00873,0.03,0.10142795197548851,0.09532979221597782,0.010382965038993192,n200_eta0p3,200,0.3,0.03,0.3,8.0,0,3.01,0.925,True,0.008303447610609414,0.20883504161691724,83.88103489696144,279.60344965653815,1338.872286430919,0.007985921028991313,0.038240330584177175,117.55824077715454,0.16466340882375372,0.038689232468197485
3,2,0.00934797937302562,0.3563595845768786,193.62681648840146,583.027620891189,0.009111630794407325,0.031932066097710744,916.380297823597,0.00873,0.03,0.19638661337044938,0.01858186999934915,0.0019320660977107454,n200_eta0p3,200,0.3,0.03,0.3,8.0,1,1.965,0.945,,,,,,,,,,,
4,2,0.04278890919832873,0.6567297322842701,62.36646791409292,80.43833940303614,0.04068373650291416,0.05888149049260053,34.364261168384886,0.058199999999999995,0.03,0.36935608527731656,0.15550215180339858,0.028881490492600533,n200_eta0p3,200,0.3,0.03,2.0,2.0,0,0.855,0.825,True,0.06547847047058791,1.5621409450358192,21.048065664554525,70.16021888184842,44.91286084319343,0.06284429809938054,0.04022959535059082,179.39316008573252,0.11626370846280908,0.03334289536237824
5,2,0.03746817967128166,0.5807426243866538,33.74394491929289,75.95266813280556,0.035438811596610005,0.05958657243456232,34.364261168384886,0.058199999999999995,0.03,0.34443602373509163,0.2154438348007945,0.029586572434562322,n200_eta0p3,200,0.3,0.03,2.0,2.0,1,0.515,0.87,,,,,,,,,,,
6,2,0.02807620596255848,0.6629376784304455,104.19058354457327,172.80733941321563,0.026967809733944977,0.04582722473184847,137.45704467353954,0.058199999999999995,0.03,0.09939518139671343,0.33407730920510126,0.01582722473184847,n200_eta0p3,200,0.3,0.03,2.0,8.0,0,1.3,0.815,True,0.056584027404120135,1.382730014475169,33.82509955667428,112.75033185558094,81.54182716455794,0.05435952874426565,0.03931319069897997,196.25474335944543,0.2267865635777149,0.02964730157567399
7,2,0.038407452662498655,0.6517687535055391,134.18024959278765,224.016686022208,0.03595785513179814,0.05812315883754111,137.45704467353954,0.058199999999999995,0.03,0.21211336589156132,0.20912920626627834,0.028123158837541108,n200_eta0p3,200,0.3,0.03,2.0,8.0,1,2.32,0.775,,,,,,,,,,,
8,2,0.2502889108878627,0.6419780613932418,7.866631126013595,11.099652173879154,0.18008062025341276,0.2717151061532168,6.872852233676977,0.291,0.03,0.20817236297959577,0.20842601114620554,0.2417151061532168,n200_eta0p3,200,0.3,0.03,10.0,2.0,0,0.545,0.705,True,0.38252517912990014,8.135892313304492,12.136119128087422,40.453730426958074,4.97225490076912,0.36534763261984465,0.04490566228640928,196.4430876882722,0.1405836221952196,0.0988133085623901
9,2,0.11151006058191261,0.5415315807776673,11.152018507359262,21.539201623002327,0.09174970151459377,0.17720696199248637,6.872852233676977,0.291,0.03,0.49609259492314184,0.5012883289312704,0.14720696199248637,n200_eta0p3,200,0.3,0.03,10.0,2.0,1,0.5,0.74,,,,,,,,,,,
10,2,0.21712451129565966,1.3887395548783763,60.14144601920419,47.8399060982483,0.18162787953808804,0.14350528612882732,27.49140893470791,0.291,0.03,0.2405933205275658,0.20471047629737246,0.11350528612882732,n200_eta0p3,200,0.3,0.03,10.0,8.0,0,2.705,0.505,True,0.284777109674998,7.393813341076101,72.83746191465532,242.79153971551776,32.8371205108326,0.2742155355534203,0.0370871596162733,394.2795318000613,0.07716806880054035,0.025800933083850546
11,2,0.2929043160934846,1.8828448738258177,67.98285793933115,36.10645724689705,0.25347286931474355,0.13462227974187976,27.49140893470791,0.291,0.03,0.11838787968680395,0.05996150791008577,0.10462227974187976,n200_eta0p3,200,0.3,0.03,10.0,8.0,1,2.1,0.495,,,,,,,,,,,
12,2,0.017300168272739364,0.33537029400955326,43.621636540814194,121.97576977999087,0.016409530472529774,0.05074181278922621,140.35087719298247,0.014249999999999999,0.05,0.06094156372639731,0.06128129037665153,0.0007418127892262066,n200_eta0p3,200,0.3,0.05,0.3,2.0,0,0.625,0.915,True,0.013246731145889982,0.2375721332597203,11.66650020509736,38.8883340169912,163.69063780084605,0.01254711915112502,0.05281393477831917,106.53543358745918,0.06680870956039517,0.05527084214425472
13,2,0.019407909021252764,0.38016888963273493,40.10206406803274,105.48486517866742,0.018399989234260946,0.04376202481118571,140.35087719298247,0.014249999999999999,0.05,0.12402497918248978,0.11100270456161444,0.00623797518881429,n200_eta0p3,200,0.3,0.05,0.3,2.0,1,0.775,0.895,,,,,,,,,,,
14,2,0.012279954240417109,0.3457456275260748,194.32741584965785,529.7043556411005,0.011891130568766332,0.03641226028014259,561.4035087719299,0.014249999999999999,0.05,0.025241578590204976,0.07859171650173434,0.013587739719857411,n200_eta0p3,200,0.3,0.05,0.3,8.0,0,2.025,0.92,True,0.007634908143062007,0.1407800397974007,39.0570876744835,130.19029224827833,924.778061120296,0.007242145667570801,0.05144298636364299,115.1306949375493,0.21676239560960672,0.29394760843327394
15,2,0.017847581919002063,0.4237856908578333,196.85172652382872,464.5077235273294,0.017126313391491343,0.040412674993400566,561.4035087719299,0.014249999999999999,0.05,0.08228218309619661,0.07984902249469024,0.009587325006599437,n200_eta0p3,200,0.3,0.05,0.3,8.0,1,2.695,0.88,,,,,,,,,,,
16,2,0.0532854716947854,0.527144423893488,22.358924951633934,42.506469867578566,0.04839368111797841,0.09180345826394738,21.05263157894737,0.095,0.05,0.30514864823839255,0.2929349468417097,0.04180345826394738,n200_eta0p3,200,0.3,0.05,2.0,2.0,0,0.775,0.795,True,0.0901785011101413,1.8007900028009154,16.316214617075694,54.38738205691898,30.201956903540033,0.08587797360497548,0.047689055065500405,188.20356016662538,0.15672869314079765,0.043841817109175285
17,2,0.04192580660651916,0.3131214445973146,15.919186999311021,45.99846116728262,0.036974991599087646,0.11808514631324216,21.05263157894737,0.095,0.05,0.3394369126599978,0.40981552129389454,0.06808514631324215,n200_eta0p3,200,0.3,0.05,2.0,2.0,1,0.525,0.83,,,,,,,,,,,
18,2,0.1289955493998361,1.2318031892571464,121.27370674518532,103.40198212189686,0.11676754588082344,0.09517443120368539,84.21052631578948,0.095,0.05,0.08916248216461121,0.08959854738984865,0.04517443120368539,n200_eta0p3,200,0.3,0.05,2.0,8.0,0,3.26,0.615,True,0.1380769140550997,1.7264625131489941,44.2229588594807,147.40986286493566,85.38260271638701,0.1278517432076438,0.07405416696505485,365.38648354309794,0.006003007557717036,0.12898304854632114
19,2,0.04379947036151541,0.805787308036162,136.34837260877399,156.97476320661593,0.04200420159672663,0.04519000810890013,84.21052631578948,0.095,0.05,0.27046345490298673,0.35443087110503196,0.004809991891099874,n200_eta0p3,200,0.3,0.05,2.0,8.0,1,2.135,0.735,,,,,,,,,,,
20,2,0.47517774528492307,0.9456226311582112,7.786259014335836,6.5940533495763995,0.33198852286567293,0.28694691760894425,4.2105263157894735,0.47500000000000003,0.05,0.19481607046727878,0.15557053960234785,0.23694691760894426,n200_eta0p3,200,0.3,0.05,10.0,2.0,0,0.69,0.63,True,0.5381986574882482,6.469069635925281,8.984566198264712,29.948553994215708,4.629499399403532,0.49686189360346644,0.07680577294209318,227.13421121161122,0.04119764605211521,0.019542080555271842
