gene_idx,correct,y_true,delta_bic
721,1,1,75.38904502113837
722,1,1,9.86259056413428
723,1,1,61.6856663471126
724,1,1,118.79377624458584
725,1,1,71.47197995826264
726,1,1,72.06669342985879
727,1,1,55.118152859080965
728,1,1,41.53054905260478
729,1,1,36.67314164008258
730,1,1,12.566292585750489
731,1,1,84.05469560855818
732,1,1,48.85254493894263
733,1,1,77.82283489245901
734,1,1,7.645242060379587
735,1,1,42.48482465632833
736,1,1,140.4637724780473
737,1,1,11.600204798437517
738,1,1,27.139250287941195
739,1,1,94.44466199996305
740,1,1,89.33242402983706
741,1,1,29.012606480474005
742,1,1,78.60717285274268
743,1,1,41.83897010786541
744,1,1,33.49682192607679
745,1,1,26.469474567656107
746,1,1,41.96973528630224
747,1,1,170.814391577881
748,1,1,44.98884523708557
749,1,1,32.35538951691706
750,1,1,64.44228092158619
751,1,1,47.59110170094846
752,1,1,42.6319814086537
753,1,1,53.0957531929098
754,1,1,12.084148678258316
755,1,1,95.68188184777546
756,1,1,35.03701091496896
757,1,1,73.11027442803334
758,1,1,36.589264589796585
759,1,1,29.401189753290964
760,1,1,56.86408900223887
761,1,1,102.55622111370985
762,1,1,22.641572844307575
763,1,1,132.9190506192599
764,1,1,64.87990854106738
765,1,1,106.74404702735728
766,1,1,73.2472430201542
767,1,1,77.03575136497102
768,1,1,40.26103557850456
769,1,1,44.357275278949146
770,1,1,81.10457642693837
771,1,1,9.456741540551775
772,1,1,46.309534806177
773,1,1,5.3792411660356265
774,1,1,53.27640746050065
775,1,1,27.191042458542142
776,1,1,102.77905090241256
777,1,1,96.66845186114779
778,1,1,22.438592810650334
779,1,1,54.46597231437045
780,1,1,9.424642713281173
781,1,1,95.6650069028774
782,1,1,53.63763678724854
783,1,1,24.69382386147572
784,1,1,34.39964189115153
785,1,1,95.81943412925375
786,1,1,53.84343237024359
787,1,1,61.13531641495092
788,1,1,33.994061271779174
789,1,1,44.9250791615641
790,1,1,39.01026823893335
791,1,1,65.36956508781532
792,1,1,62.39829500032465
793,1,1,60.38401891965714
794,1,1,19.78464063789488
795,1,1,51.794174214445775
796,1,1,60.396250170822896
797,1,1,41.866901060632244
798,1,1,61.447482879234485
799,1,1,56.38552174443839
